goal_frame,joint0,joint1,joint2,joint3,joint4,joint5
"[[0.281412124633789, 0.0900968313217163, -0.95534, -66.8550771896764], [-0.935637474060059, -0.195275068283081, -0.29402, -301.889228214439], [-0.213046550750732, 0.976601600646973, 0.029345, 274.381851786423], [0, 0, 0, 1]]",-1.2825,-2.0595,0.7033,-1.6017,1.567,-0.0
"[[-0.177415370941162, -0.0682034492492676, 0.98176, 99.4651361658872], [0.960797309875488, 0.203956127166748, 0.18779, 292.768459620945], [-0.213046550750732, 0.976601600646973, 0.029345, 274.381851786423], [0, 0, 0, 1]]",1.7495,-2.0595,0.7033,-1.6017,1.567,-0.0
"[[0.280062675476074, 0.959721565246582, -0.022294, 102.088804712401], [0.954054832458496, -0.275681495666504, 0.11740, 542.840270914749], [0.106522560119629, -0.0541478395462036, -0.99284, -195.200477800439], [0, 0, 0, 1]]",1.3727,-0.7298,0.1428,0.0979,0.4779,-0.0
"[[-0.0741728544235229, 0.994790077209473, 0.069921, -38.7212025557366], [-0.810626029968262, -0.100983977317810, 0.57678, -158.627669122817], [0.580836296081543, -0.0138988494873047, 0.81390, 611.846434895529], [0, 0, 0, 1]]",1.3727,-2.687,-0.312,0.0979,0.4779,0.0
"[[0.103357553482056, -0.990990638732910, -0.085171, 46.6522599788617], [0.818685531616211, 0.133389472961426, -0.55854, 168.903399060894], [0.564866065979004, -0.0119995325803757, 0.82510, 607.548346551848], [0, 0, 0, 1]]",-1.8018,-2.7066,-0.312,0.0979,0.4779,-0.0
"[[0.30568, 0.95213, -0.0012980, -143.279145080272], [0.92031, -0.29582, -0.25595, -646.778929440037], [-0.24408, 0.077044, -0.96669, -145.593404463316], [0, 0, 0, 1]]",-1.8018,-0.5649,-0.312,0.0979,0.6266,-3.1339
"[[0.867527025261093, 0.479209792733087, 0.133219965090582, 293.181326534097], [-0.483520030975342, 0.875329971313477, 0, 0], [-0.116611754608665, -0.0644147019390454, 0.991085871530231, 534.211247319251], [0, 0, 0, 1]]",0.0,-1.9796,0.3257,0.0,-1.3541,2.6369
